District,2020-21,2021-22,2022-23(P)
ARIYALUR,1074152,1275474,1416449
CHENGALPATTU,14018745,16922344,20317223
CHENNAI,21613723,24488386,28948119
COIMBATORE,11370818,13064283,15204427
CUDDALORE,4077916,4766444,5431217
DHARMAPURI,3210565,3731487,4036234
DINDIGUL,4349136,5168355,5890012
ERODE,5621471,6289697,7097713
KANCHIPURAM,6972375,7780274,9245643
KALLAKKURICHI,1974375,2253263,2718983
KANYAKUMARI,3355191,3819278,4435042
KARUR,2141378,2461536,2801472
MADURAI,6616933,7541918,8760527
N|LGIRIS,1300712,1471736,1628032
NAGAPATTINAM,1091332,1353544,1515667
NAMAKKAL,6349237,7306639,8348291
MAYILADUTHURAI,1256260,1479873,1667493
PERAMBALUR,777652,887831,1019982
PUDUKKOTTAI,2408676,2842703,3272507
RAMANATHAPURAM,2236968,2382030,2698192
RANIPPETTAI,2341583,2712187,3091478
SALEM,7286506,8274782,9415614
SIVAGANGA,2102651,2491490,2852394
TENI,2206935,2459424,2770280
TENKASI,2660635,3138403,3579993
THANJAVUR,3757125,4550331,5246219
THIRUVARUR,1544930,1957837,2211924
TIRUCHIRAPALLI,5960373,6754485,7582068
TIRUNELVELI,3162776,3682116,4187123
TIRUPPUR,8239713,9974156,11637688
TIRUPPATTUR,2117244,2466369,2832514
TIRUVALLUR,12610317,14718262,17094618
TIRUVANNAMALAI,4004387,4673224,5227990
TUTICORIN,3604045,4131316,4775957
VELLORE,3262735,3636294,4113418
VILLUPURAM,2710279,3198744,3685654
VIRUDHUNAGAR,3947685,4508445,5096003
KRISHNAGIRI,5469904,6634617,7482285
